MAP	 5.5  	2012/04/11 23:56:34 	  1.798 	  89.670 	 13.9 	 NORTH INDIAN OCEAN
MAP	 4.6  	2012/04/11 23:28:44 	 -20.363 	 -177.712 	535.7 	 FIJI REGION
MAP	 4.6  	2012/04/11 23:18:50 	  3.089 	  92.839 	 10.2 	 OFF THE WEST COAST OF NORTHERN SUMATRA
MAP	 6.5  	2012/04/11 22:55:11 	  18.272 	 -102.732 	 20.0 	 MICHOACAN, MEXICO
MAP	 5.4  	2012/04/11 22:51:59 	  2.897 	  89.597 	 14.7 	 NORTH INDIAN OCEAN
MAP	 5.9  	2012/04/11 22:41:47 	  43.593 	 -127.557 	 10.2 	 OFF THE COAST OF OREGON
MAP	 4.9  	2012/04/11 22:35:34 	  2.488 	  90.185 	 14.8 	 OFF THE WEST COAST OF NORTHERN SUMATRA
MAP	 5.0  	2012/04/11 22:15:26 	  0.514 	  92.443 	 13.8 	 OFF THE WEST COAST OF NORTHERN SUMATRA
MAP	 4.2  	2012/04/11 22:02:50 	  51.508 	 -176.673 	 35.6 	 ANDREANOF ISLANDS, ALEUTIAN IS., ALASKA
MAP	 3.0  	2012/04/11 21:53:23 	  59.218 	 -154.654 	197.9 	 SOUTHERN ALASKA
MAP	 5.0  	2012/04/11 21:36:09 	  1.787 	  90.927 	 15.0 	 NORTH INDIAN OCEAN
MAP	 3.2  	2012/04/11 21:23:40 	  51.251 	 -178.168 	 18.3 	 ANDREANOF ISLANDS, ALEUTIAN IS., ALASKA
MAP	 4.7  	2012/04/11 21:02:50 	  0.717 	  92.407 	 15.2 	 OFF THE WEST COAST OF NORTHERN SUMATRA
MAP	 2.9  	2012/04/11 20:50:59 	  18.088 	  -67.480 	 11.6 	 MONA PASSAGE, PUERTO RICO
MAP	 3.6  	2012/04/11 20:03:14 	  19.075 	  -68.615 	165.3 	 DOMINICAN REPUBLIC REGION
MAP	 5.5  	2012/04/11 19:04:20 	  1.202 	  92.090 	 10.3 	 OFF THE WEST COAST OF NORTHERN SUMATRA
MAP	 5.4  	2012/04/11 18:54:46 	  2.496 	  92.712 	 14.3 	 OFF THE WEST COAST OF NORTHERN SUMATRA
MAP	 2.5  	2012/04/11 16:32:14 	  18.731 	  -68.225 	104.0 	 DOMINICAN REPUBLIC REGION
MAP	 5.1  	2012/04/11 16:04:24 	  3.426 	  92.860 	 10.8 	 OFF THE WEST COAST OF NORTHERN SUMATRA
MAP	 5.1  	2012/04/11 15:46:53 	  2.987 	  92.249 	 21.6 	 OFF THE WEST COAST OF NORTHERN SUMATRA
MAP	 5.0  	2012/04/11 15:09:26 	  2.969 	  90.062 	 13.1 	 OFF THE WEST COAST OF NORTHERN SUMATRA
MAP	 5.3  	2012/04/11 14:54:29 	  1.336 	  91.841 	 11.9 	 NORTH INDIAN OCEAN
MAP	 5.3  	2012/04/11 14:34:19 	  1.504 	  90.894 	 14.4 	 NORTH INDIAN OCEAN
